contig,contig_length,contig_start,contig_stop,ref_chr,ref_length,ref_start,ref_stop,strand,matches,aln_block_len,percent_identity,mapq,chr_label
contig_1,23331,544,23329,NC_006071.1,4224103,4190315,4213097,-,22593,22786,99.15298867725797,60,ChrE
contig_3,4145790,11,4137008,NC_006071.1,4224103,18,4190300,-,4039579,4213181,95.87955039197224,60,ChrE
contig_30,47895,4,39661,NC_002659.1,47916,15,39682,-,39112,39674,98.58345515955034,60,mtDNA
contig_30,47895,39688,47877,NC_002659.1,47916,39704,47904,-,7931,8201,96.70771857090598,60,mtDNA
contig_5,4040804,12,4011572,NC_006072.1,4003362,2244,4003128,+,3944382,4021788,98.07533365756723,60,ChrF
contig_6,3640073,37729,3640041,NC_006070.1,3633272,192,3633152,-,3512282,3655135,96.0917175425805,60,ChrD
contig_7,3296585,14,3296579,NC_006069.1,3272609,2359,3270655,+,3178826,3316576,95.84662012871105,60,ChrC
contig_8,2262344,11137,2259891,NC_006067.1,2303261,163,2302411,+,2112861,2336803,90.41673602781236,60,ChrA
contig_9,3043562,7380,3043545,NC_006068.1,3066374,101,3063844,+,2955648,3065622,96.4126692723369,60,ChrB
contig_9,3043562,76978,136479,NC_006068.1,3066374,71071,130611,-,55028,59730,92.12790892348903,0,ChrB
