contig,contig_length,contig_start,contig_stop,ref_chr,ref_length,ref_start,ref_stop,strand,matches,aln_block_len,percent_identity,mapq,chr_label
contig_10,2262666,2454,2254851,NC_006067.1,2303261,163,2302411,-,2112853,2340410,90.27704547493815,60,ChrA
contig_10,2262666,2258628,2262576,NC_006069.1,3272609,3262961,3266942,+,2494,3995,62.428035043804755,26,ChrC
contig_10,2262666,2259834,2262652,NC_006069.1,3272609,5677,8806,-,2323,3140,73.98089171974522,0,ChrC
contig_10,2262666,2259691,2262635,NC_006068.1,3066374,3057673,3060567,+,2121,2968,71.4622641509434,0,ChrB
contig_10,2262666,2260074,2262635,NC_006070.1,3633272,392,2995,-,2101,2606,80.6216423637759,0,ChrD
contig_10,2262666,281,2113,NC_006071.1,4224103,4188565,4190411,-,1099,1847,59.5018949648078,60,ChrE
contig_13,3071680,17260,3064299,NC_006068.1,3066374,101,3066344,-,2958106,3076478,96.1523534379248,60,ChrB
contig_13,3071680,2935198,2994701,NC_006068.1,3066374,71071,130611,+,55029,59731,92.12804071587618,0,ChrB
contig_13,3071680,3069270,3071646,NC_006069.1,3272609,5931,8308,-,2002,2386,83.90611902766136,12,ChrC
contig_13,3071680,3069324,3071678,NC_006068.1,3066374,3058036,3060370,+,1932,2387,80.93841642228739,0,ChrB
contig_13,3071680,3069324,3071646,NC_006070.1,3633272,629,2995,-,1789,2376,75.29461279461279,0,ChrD
contig_13,3071680,3069270,3071646,NC_006069.1,3272609,3264352,3266769,+,1768,2429,72.78715520790449,0,ChrC
contig_13,3071680,3069270,3071646,NC_006072.1,4003362,5816,8245,-,1672,2431,68.77828054298642,0,ChrF
contig_13,3071680,7337,9146,NC_006072.1,4003362,3999990,4002358,-,1192,2374,50.210614995787694,60,ChrF
contig_13,3071680,18,961,NC_006072.1,4003362,3999990,4000934,-,872,945,92.27513227513228,60,ChrF
contig_13,3071680,3285,3591,NC_006072.1,4003362,3289476,3289782,+,307,307,100.0,60,ChrF
contig_13,3071680,11470,11776,NC_006072.1,4003362,3289476,3289782,+,307,307,100.0,60,ChrF
contig_13,3071680,1812,2153,NC_006072.1,4003362,2117968,2118310,-,302,343,88.0466472303207,60,ChrF
contig_13,3071680,9997,10338,NC_006072.1,4003362,2117968,2118310,-,302,343,88.0466472303207,60,ChrF
contig_13,3071680,3066512,3068988,NC_006071.1,4224103,2298511,2300689,+,308,2538,12.135539795114262,31,ChrE
contig_13,3071680,3066512,3068630,NC_006071.1,4224103,1378144,1379961,-,274,2178,12.580348943985308,0,ChrE
contig_13,3071680,15352,15922,NC_006072.1,4003362,4001499,4002010,-,159,638,24.921630094043888,60,ChrF
contig_13,3071680,1715,1812,NC_006072.1,4003362,3665578,3665675,-,92,98,93.87755102040816,60,ChrF
contig_13,3071680,9900,9997,NC_006072.1,4003362,3665578,3665675,-,92,98,93.87755102040816,60,ChrF
contig_13,3071680,9261,9350,NC_006072.1,4003362,5,94,+,90,90,100.0,60,ChrF
contig_13,3071680,1076,1165,NC_006072.1,4003362,5,94,+,90,90,100.0,60,ChrF
contig_13,3071680,8746,8835,NC_006072.1,4003362,4000273,4000362,-,90,90,100.0,0,ChrF
contig_13,3071680,8774,8863,NC_006072.1,4003362,4000301,4000390,-,90,90,100.0,0,ChrF
contig_13,3071680,1042,1146,NC_006071.1,4224103,4223993,4224095,-,74,105,70.47619047619048,56,ChrE
contig_13,3071680,16485,16591,NC_006072.1,4003362,4000731,4000816,-,48,107,44.85981308411215,4,ChrF
contig_14,47891,356,41014,NC_002659.1,47916,15,40682,-,40081,40674,98.54206618478635,60,mtDNA
contig_14,47891,41041,47890,NC_002659.1,47916,41044,47904,-,6623,6861,96.53111791284068,60,mtDNA
contig_3,3343443,20156,3320899,NC_006069.1,3272609,52,3272545,-,3182895,3320839,95.8461099740156,60,ChrC
contig_3,3343443,7863,11001,NC_006072.1,4003362,3999990,4003128,-,2245,3141,71.47405284941102,60,ChrF
contig_3,3343443,1482,2076,NC_006072.1,4003362,3999990,4000585,-,523,596,87.75167785234899,60,ChrF
contig_3,3343443,3336333,3336639,NC_006072.1,4003362,3289476,3289782,-,307,307,100.0,60,ChrF
contig_3,3343443,3327408,3327714,NC_006072.1,4003362,3289476,3289782,-,307,307,100.0,60,ChrF
contig_3,3343443,13325,13631,NC_006072.1,4003362,3289476,3289782,+,307,307,100.0,60,ChrF
contig_3,3343443,4400,4706,NC_006072.1,4003362,3289476,3289782,+,307,307,100.0,60,ChrF
contig_3,3343443,11852,12193,NC_006072.1,4003362,2117968,2118310,-,302,343,88.0466472303207,60,ChrF
contig_3,3343443,3328846,3329187,NC_006072.1,4003362,2117968,2118310,+,302,343,88.0466472303207,60,ChrF
contig_3,3343443,2927,3268,NC_006072.1,4003362,2117968,2118310,-,302,343,88.0466472303207,60,ChrF
contig_3,3343443,3337771,3338112,NC_006072.1,4003362,2117968,2118310,+,302,343,88.0466472303207,60,ChrF
contig_3,3343443,3329187,3329284,NC_006072.1,4003362,3665578,3665675,+,92,98,93.87755102040816,60,ChrF
contig_3,3343443,3338112,3338209,NC_006072.1,4003362,3665578,3665675,+,92,98,93.87755102040816,60,ChrF
contig_3,3343443,11755,11852,NC_006072.1,4003362,3665578,3665675,-,92,98,93.87755102040816,60,ChrF
contig_3,3343443,2830,2927,NC_006072.1,4003362,3665578,3665675,-,92,98,93.87755102040816,60,ChrF
contig_3,3343443,3329853,3329957,NC_006068.1,3066374,3066241,3066344,+,92,105,87.61904761904762,3,ChrB
contig_3,3343443,3338778,3338882,NC_006068.1,3066374,3066241,3066344,+,92,105,87.61904761904762,3,ChrB
contig_3,3343443,3338759,3338848,NC_006072.1,4003362,5,94,-,90,90,100.0,0,ChrF
contig_3,3343443,3329834,3329923,NC_006072.1,4003362,5,94,-,90,90,100.0,0,ChrF
contig_3,3343443,2191,2280,NC_006072.1,4003362,5,94,+,90,90,100.0,60,ChrF
contig_3,3343443,11116,11205,NC_006072.1,4003362,5,94,+,90,90,100.0,60,ChrF
contig_5,1316987,13,1316570,NC_006071.1,4224103,2873922,4213648,+,1304655,1345447,96.96814515919245,60,ChrE
contig_6,4033771,13408,4014331,NC_006072.1,4003362,5,4003128,+,3948206,4010729,98.4411063425128,60,ChrF
contig_6,4033771,4020337,4021817,NC_006072.1,4003362,4000360,4002358,+,869,2004,43.36327345309382,60,ChrF
contig_6,4033771,4028411,4029891,NC_006072.1,4003362,4000360,4002358,+,869,2004,43.36327345309382,60,ChrF
contig_6,4033771,6692,6998,NC_006072.1,4003362,3289476,3289782,+,307,307,100.0,60,ChrF
contig_6,4033771,4018927,4019268,NC_006072.1,4003362,2117968,2118310,+,302,343,88.0466472303207,60,ChrF
contig_6,4033771,4027001,4027342,NC_006072.1,4003362,2117968,2118310,+,302,343,88.0466472303207,60,ChrF
contig_6,4033771,5219,5560,NC_006072.1,4003362,2117968,2118310,-,302,343,88.0466472303207,60,ChrF
contig_6,4033771,4025562,4025869,NC_006072.1,4003362,3289476,3289782,-,286,308,92.85714285714286,60,ChrF
contig_6,4033771,4017488,4017795,NC_006072.1,4003362,3289476,3289782,-,286,308,92.85714285714286,60,ChrF
contig_6,4033771,4033636,4033770,NC_006072.1,4003362,3289649,3289782,-,113,135,83.7037037037037,60,ChrF
contig_6,4033771,4449,4553,NC_006068.1,3066374,3066241,3066344,-,92,105,87.61904761904762,3,ChrB
contig_6,4033771,5122,5219,NC_006072.1,4003362,3665578,3665675,-,92,98,93.87755102040816,60,ChrF
contig_6,4033771,4019268,4019365,NC_006072.1,4003362,3665578,3665675,+,92,98,93.87755102040816,60,ChrF
contig_6,4033771,4027342,4027439,NC_006072.1,4003362,3665578,3665675,+,92,98,93.87755102040816,60,ChrF
contig_6,4033771,4019934,4020038,NC_006068.1,3066374,3066241,3066344,+,92,105,87.61904761904762,3,ChrB
contig_6,4033771,4028008,4028112,NC_006068.1,3066374,3066241,3066344,+,92,105,87.61904761904762,3,ChrB
contig_6,4033771,4019915,4020004,NC_006072.1,4003362,5,94,-,90,90,100.0,0,ChrF
contig_6,4033771,4027989,4028078,NC_006072.1,4003362,5,94,-,90,90,100.0,0,ChrF
contig_6,4033771,4483,4572,NC_006072.1,4003362,5,94,+,90,90,100.0,0,ChrF
contig_6,4033771,4028328,4028375,NC_006072.1,4003362,4000141,4000188,+,48,48,100.0,7,ChrF
contig_6,4033771,4020254,4020301,NC_006072.1,4003362,4000141,4000188,+,48,48,100.0,7,ChrF
contig_8,2887287,45544,2887262,NC_006071.1,4224103,18,2873886,+,2758111,2888986,95.46986382073156,60,ChrE
contig_8,2887287,5,10708,NC_006069.1,3272609,3260141,3270276,-,8800,10728,82.0283370618941,60,ChrC
contig_8,2887287,19751,21704,NC_006071.1,4224103,4188442,4190411,-,1185,1970,60.15228426395939,60,ChrE
contig_8,2887287,42821,43080,NC_006067.1,2303261,409955,410214,+,222,260,85.38461538461539,8,ChrA
contig_8,2887287,42821,43080,NC_006068.1,3066374,1328129,1328388,-,213,260,81.92307692307692,0,ChrB
contig_8,2887287,42821,43074,NC_006067.1,2303261,547625,547878,+,207,254,81.49606299212599,0,ChrA
contig_8,2887287,42821,43080,NC_006070.1,3633272,1920925,1921170,+,204,260,78.46153846153847,0,ChrD
contig_8,2887287,42850,43080,NC_006071.1,4224103,1836275,1836505,+,193,231,83.54978354978356,0,ChrE
contig_8,2887287,42821,43075,NC_006070.1,3633272,307578,307832,+,190,255,74.50980392156863,0,ChrD
contig_8,2887287,33525,33813,NC_006070.1,3633272,1327797,1328085,+,188,289,65.05190311418684,0,ChrD
contig_8,2887287,33525,33813,NC_006072.1,4003362,3666529,3666817,+,188,289,65.05190311418684,0,ChrF
contig_8,2887287,33540,33862,NC_006072.1,4003362,2540089,2540411,+,184,323,56.965944272445824,0,ChrF
contig_8,2887287,42821,43075,NC_006070.1,3633272,1990829,1991083,-,183,255,71.76470588235294,0,ChrD
contig_8,2887287,33525,33872,NC_006072.1,4003362,3704054,3704398,-,185,352,52.55681818181818,0,ChrF
contig_8,2887287,42821,43075,NC_006070.1,3633272,3388712,3388966,-,179,255,70.19607843137254,0,ChrD
contig_8,2887287,42821,43074,NC_006070.1,3633272,250491,250744,-,178,254,70.07874015748031,0,ChrD
contig_8,2887287,26144,26362,NC_006067.1,2303261,547619,547837,-,173,219,78.99543378995433,0,ChrA
contig_8,2887287,26144,26362,NC_006068.1,3066374,1328176,1328394,+,173,219,78.99543378995433,0,ChrB
contig_8,2887287,33525,33799,NC_006072.1,4003362,3937073,3937347,+,165,275,60.0,0,ChrF
contig_8,2887287,33525,33746,NC_006071.1,4224103,1777595,1777822,-,164,228,71.9298245614035,0,ChrE
contig_8,2887287,33525,33813,NC_006071.1,4224103,3033498,3033786,-,155,289,53.63321799307958,0,ChrE
contig_8,2887287,33525,33771,NC_006067.1,2303261,1317939,1318185,+,154,247,62.34817813765182,0,ChrA
contig_8,2887287,26144,26362,NC_006072.1,4003362,3666042,3666259,+,147,219,67.12328767123287,0,ChrF
contig_8,2887287,26144,26327,NC_006070.1,3633272,1990871,1991054,+,144,184,78.26086956521739,0,ChrD
contig_8,2887287,26144,26362,NC_006067.1,2303261,1249755,1249973,-,144,219,65.75342465753424,0,ChrA
contig_8,2887287,26144,26362,NC_006067.1,2303261,409949,410167,-,138,219,63.013698630136986,0,ChrA
contig_8,2887287,18617,18788,NC_006069.1,3272609,2932813,2932987,-,70,175,40.0,38,ChrC
contig_8,2887287,33980,34032,NC_006071.1,4224103,2385623,2385675,-,53,53,100.0,0,ChrE
contig_8,2887287,33980,34032,NC_006070.1,3633272,2048318,2048370,-,53,53,100.0,0,ChrD
contig_8,2887287,33980,34032,NC_006071.1,4224103,1348019,1348071,-,53,53,100.0,0,ChrE
contig_8,2887287,33980,34032,NC_006070.1,3633272,2566850,2566902,-,53,53,100.0,0,ChrD
contig_8,2887287,33980,34032,NC_006071.1,4224103,192181,192233,+,53,53,100.0,0,ChrE
contig_8,2887287,33980,34032,NC_006071.1,4224103,1348261,1348313,-,53,53,100.0,0,ChrE
contig_8,2887287,33980,34032,NC_006070.1,3633272,2819220,2819287,-,50,68,73.52941176470588,0,ChrD
contig_8,2887287,33980,34032,NC_006067.1,2303261,452832,452908,-,50,77,64.93506493506493,0,ChrA
contig_8,2887287,18617,18788,NC_006067.1,2303261,158103,158277,+,44,175,25.142857142857146,0,ChrA
contig_8,2887287,18617,18788,NC_006071.1,4224103,277312,277486,+,44,175,25.142857142857146,0,ChrE
contig_8,2887287,33980,34021,NC_006072.1,4003362,1816378,1816419,-,42,42,100.0,0,ChrF
contig_8,2887287,33980,34021,NC_006068.1,3066374,2154416,2154457,-,42,42,100.0,0,ChrB
contig_9,3658090,49276,3656851,NC_006070.1,3633272,258,3633152,-,3512451,3660340,95.95969226902419,60,ChrD
contig_9,3658090,7558,17139,NC_006072.1,4003362,3992304,4002358,-,6075,10488,57.923340961098404,0,ChrF
contig_9,3658090,9296,17908,NC_006068.1,3066374,3057833,3066344,-,5898,8915,66.1581604038138,0,ChrB
contig_9,3658090,9406,17705,NC_006069.1,3272609,18,8254,+,5603,8606,65.10574018126889,0,ChrC
contig_9,3658090,9330,17908,NC_006072.1,4003362,5,8393,+,5505,8728,63.07286892758937,0,ChrF
contig_9,3658090,9423,17908,NC_006069.1,3272609,3264203,3272545,-,5506,8692,63.34560515416475,0,ChrC
contig_9,3658090,9296,17434,NC_006071.1,4224103,4216205,4224095,-,5374,8273,64.95829807808533,0,ChrE
contig_9,3658090,15036,20972,NC_006070.1,3633272,258,5352,+,3946,6016,65.59175531914893,60,ChrD
contig_9,3658090,21793,23748,NC_006071.1,4224103,4188442,4190411,-,1160,1970,58.88324873096447,60,ChrE
contig_9,3658090,323,1182,NC_006072.1,4003362,3999990,4001085,-,761,1096,69.43430656934306,60,ChrF
contig_9,3658090,2033,2374,NC_006072.1,4003362,2117968,2118310,-,302,343,88.0466472303207,60,ChrF
contig_9,3658090,3506,3813,NC_006072.1,4003362,3289476,3289782,+,286,308,92.85714285714286,60,ChrF
contig_9,3658090,63,294,NC_006072.1,4003362,4001865,4002096,-,149,233,63.94849785407726,60,ChrF
contig_9,3658090,1936,2033,NC_006072.1,4003362,3665578,3665675,-,92,98,93.87755102040816,60,ChrF
contig_9,3658090,1297,1386,NC_006072.1,4003362,5,94,+,90,90,100.0,60,ChrF
