contig,contig_length,contig_start,contig_stop,ref_chr,ref_length,ref_start,ref_stop,strand,matches,aln_block_len,percent_identity,mapq,chr_label
contig_11,4202633,42496,4202617,NC_006071.1,4224103,18,4213443,+,4061818,4236331,95.88056268502154,60,ChrE
contig_19,3047334,7375,3046058,NC_006068.1,3066374,101,3066344,+,2958116,3068134,96.4141722623588,60,ChrB
contig_19,3047334,76974,136473,NC_006068.1,3066374,71071,130611,-,55028,59728,92.13099383873559,0,ChrB
contig_22,2277942,23405,2275770,NC_006067.1,2303261,163,2302411,+,2112776,2340395,90.27433403335762,60,ChrA
contig_24,23737,4,23340,NC_006071.1,4224103,4190315,4213648,+,23125,23338,99.08732539206444,60,ChrE
contig_26,3649852,40770,3648617,NC_006070.1,3633272,258,3633152,-,3512327,3660631,95.94867660794,60,ChrD
contig_28,47892,1,21698,NC_002659.1,47916,15,21715,-,21396,21706,98.57182345895144,60,mtDNA
contig_28,47892,21725,47888,NC_002659.1,47916,21720,47904,-,25647,26186,97.94164820896663,60,mtDNA
contig_7,3329114,12745,3313572,NC_006069.1,3272609,18,3272545,+,3183216,3320831,95.8560071259272,60,ChrC
contig_8,4017495,4596,4005162,NC_006072.1,4003362,5,4003128,+,3948073,4010721,98.43798658645167,60,ChrF
