locus_id,contig,ref_chr,chr_label,locus_start,locus_stop,motifs_present,projection_status,projection_confidence,projection_interval_width_bp,locus_tag,product,note,cds_start,cds_stop,distance_bp,overlaps_locus,within_projected_interval,is_essential
L1,contig_10,NC_006067.1,ChrA,112817,116516,"Hyg,MhFAR",paired_flanks_broad_interval,moderate,3700,YALI0_A00891g,YALI0A00891p,uniprot|Q96X25 Yarrowia lipolytica Serine/threonine phosphatase Pph21p (EC 3.1.3.16) (Serine/threonine protein phosphatase),112988,114379,0,False,True,False
L1,contig_10,NC_006067.1,ChrA,112817,116516,"Hyg,MhFAR",paired_flanks_broad_interval,moderate,3700,YALI0_A00913g,YALI0A00913p,weakly similar to uniprot|P40009 Saccharomyces cerevisiae YER005w YND1 Yeast Nucleoside Diphosphatase,116949,119207,433,False,False,False
L1,contig_10,NC_006067.1,ChrA,112817,116516,"Hyg,MhFAR",paired_flanks_broad_interval,moderate,3700,YALI0_A00869g,YALI0A00869p,some similarities with uniprot|P53322 Saccharomyces cerevisiae YGR260w TNA1 similarity to allantoate transport protein,109884,111338,1479,False,False,False
L1,contig_10,NC_006067.1,ChrA,112817,116516,"Hyg,MhFAR",paired_flanks_broad_interval,moderate,3700,YALI0_A00847g,YALI0A00847p,similar to uniprot|O59826 Schizosaccharomyces pombe Putative potassium channel subunit,108301,109344,3473,False,False,False
L1,contig_10,NC_006067.1,ChrA,112817,116516,"Hyg,MhFAR",paired_flanks_broad_interval,moderate,3700,YALI0_A00935g,YALI0A00935p,no similarity,121112,121432,4596,False,False,False
L1,contig_10,NC_006067.1,ChrA,112817,116516,"Hyg,MhFAR",paired_flanks_broad_interval,moderate,3700,YALI0_A00825g,YALI0A00825p,weakly similar to DEHA0E12342g Debaryomyces hansenii IPF 11939.1,106356,107765,5052,False,False,False
L1,contig_10,NC_006067.1,ChrA,112817,116516,"Hyg,MhFAR",paired_flanks_broad_interval,moderate,3700,YALI0_A00957g,YALI0A00957p,similar to Q8U8U2 Agrobacterium tumefaciens putative acetyl transferase,121983,122435,5467,False,False,False
L1,contig_10,NC_006067.1,ChrA,112817,116516,"Hyg,MhFAR",paired_flanks_broad_interval,moderate,3700,YALI0_A00979g,YALI0A00979p,similar to uniprot|P34240 Saccharomyces cerevisiae YKL175w ZRT3 vacuolar membrane protein involved in the regulation of zinc storage,124225,125673,7709,False,False,False
L1,contig_10,NC_006067.1,ChrA,112817,116516,"Hyg,MhFAR",paired_flanks_broad_interval,moderate,3700,YALI0_A00803g,YALI0A00803p,similar to uniprot|P39730 Saccharomyces cerevisiae YAL035w FUN12 general translation factor eIF2 homolog,100124,103264,9553,False,False,True
L1,contig_10,NC_006067.1,ChrA,112817,116516,"Hyg,MhFAR",paired_flanks_broad_interval,moderate,3700,YALI0_A01001g,YALI0A01001p,weakly similar to uniprot|P32341 Saccharomyces cerevisiae YKL119c VPH2 H+-ATPase assembly protein,127330,128412,10814,False,False,False
L1,contig_10,NC_006067.1,ChrA,112817,116516,"Hyg,MhFAR",paired_flanks_broad_interval,moderate,3700,YALI0_A00781g,YALI0A00781p,similar to uniprot|Q04004 Saccharomyces cerevisiae YDR183w PLP1 Phosducin homologue likely to be involved in regulation of pheromone response,94859,95452,17365,False,False,False
L1,contig_10,NC_006067.1,ChrA,112817,116516,"Hyg,MhFAR",paired_flanks_broad_interval,moderate,3700,YALI0_A00759g,YALI0A00759p,weakly similar to uniprot|P17442 Saccharomyces cerevisiae YGR233c PHO81 cyclin-dependent kinase inhibitor,91457,94501,18316,False,False,False
L2,contig_13,NC_006068.1,ChrB,764286,765333,"FAA1,FAT1,URA3",single_flank_fallback,low,1048,YALI0_B05632g,YALI0B05632p,weakly similar to uniprot|Q03338 Saccharomyces cerevisiae YDR473c PRP3 essential splicing factor,762310,763869,417,False,False,True
L2,contig_13,NC_006068.1,ChrB,764286,765333,"FAA1,FAT1,URA3",single_flank_fallback,low,1048,YALI0_B05654g,YALI0B05654p,uniprot|Q92389 Yarrowia lipolytica Acid extracellular protease precursor,766032,767225,699,False,False,False
L2,contig_13,NC_006068.1,ChrB,764286,765333,"FAA1,FAT1,URA3",single_flank_fallback,low,1048,YALI0_B05610g,YALI0B05610p,similar to uniprot|P38910 Saccharomyces cerevisiae YOR020C 10 kDa heat shock protein mitochondrial (HSP10) (10 kDa chaperonin,761588,762117,2169,False,False,True
L2,contig_13,NC_006068.1,ChrB,764286,765333,"FAA1,FAT1,URA3",single_flank_fallback,low,1048,YALI0_B05676g,YALI0B05676p,weakly similar to wi|NCU03885.1 Neurospora crassa NCU03885.1 predicted protein,768183,769904,2850,False,False,False
L2,contig_13,NC_006068.1,ChrB,764286,765333,"FAA1,FAT1,URA3",single_flank_fallback,low,1048,YALI0_B05566g,YALI0B05566p,some similarities with uniprot|Q12236 Saccharomyces cerevisiae YOL100w PKH2 related to ser/thr protein kinases P108.1.f16.1,756164,760878,3408,False,False,False
L2,contig_13,NC_006068.1,ChrB,764286,765333,"FAA1,FAT1,URA3",single_flank_fallback,low,1048,YALI0_B05698g,YALI0B05698p,some similarities with uniprot|Q8WXX7 Homo sapiens AUTS2 Autism susceptibility gene 2 protein,771767,772591,6434,False,False,False
L2,contig_13,NC_006068.1,ChrB,764286,765333,"FAA1,FAT1,URA3",single_flank_fallback,low,1048,YALI0_B05720g,YALI0B05720p,weakly similar to uniprot|Q03337 Saccharomyces cerevisiae YDR472w,773428,774273,8095,False,False,True
L2,contig_13,NC_006068.1,ChrB,764286,765333,"FAA1,FAT1,URA3",single_flank_fallback,low,1048,YALI0_B05742g,YALI0B05742p,similar to uniprot|P07347 Saccharomyces cerevisiae YHR013C N-terminal acetyltransferase complex ARD1 subunit (EC 2.3.1.-)(Arrest-defective protein 1),774503,775090,9170,False,False,False
L2,contig_13,NC_006068.1,ChrB,764286,765333,"FAA1,FAT1,URA3",single_flank_fallback,low,1048,YALI0_B05544g,YALI0B05544p,no similarity,752957,754162,10124,False,False,False
L2,contig_13,NC_006068.1,ChrB,764286,765333,"FAA1,FAT1,URA3",single_flank_fallback,low,1048,YALI0_B05764g,YALI0B05764p,weakly similar to uniprot|P38758 Saccharomyces cerevisiae YHR009C Hypothetical 57.0 kDa protein in SOD2-RPL27A intergenic region,776222,777424,10889,False,False,True
L2,contig_13,NC_006068.1,ChrB,764286,765333,"FAA1,FAT1,URA3",single_flank_fallback,low,1048,YALI0_B05522g,YALI0B05522p,similar to uniprot|Q96TK5 Coccidioides immitis Aspartyl aminopeptidase,751318,752748,11538,False,False,False
L2,contig_13,NC_006068.1,ChrB,764286,765333,"FAA1,FAT1,URA3",single_flank_fallback,low,1048,YALI0_B05500g,YALI0B05500p,similar to uniprot|Q9USW6 Schizosaccharomyces pombe dolichol phosphate-mannose biosynthesis regulatory protein,749975,750368,13918,False,False,False
L2,contig_13,NC_006068.1,ChrB,764286,765333,"FAA1,FAT1,URA3",single_flank_fallback,low,1048,YALI0_B05786g,YALI0B05786p,similar to uniprot|Q8X0S2 Neurospora crassa Related to syntaxin family member TLG1,780095,780754,14762,False,False,True
L2,contig_13,NC_006068.1,ChrB,764286,765333,"FAA1,FAT1,URA3",single_flank_fallback,low,1048,YALI0_B05808g,YALI0B05808p,similar to uniprot|P38276 Saccharomyces cerevisiae YBR137w,781153,781659,15820,False,False,False
L2,contig_13,NC_006068.1,ChrB,764286,765333,"FAA1,FAT1,URA3",single_flank_fallback,low,1048,YALI0_B05830g,YALI0B05830p,weakly similar to uniprot|Q10661 Caenorhabditis elegans Dosage compensation protein dpy-30 (Dumpty-30 protein),781839,782213,16506,False,False,False
L2,contig_13,NC_006068.1,ChrB,764286,765333,"FAA1,FAT1,URA3",single_flank_fallback,low,1048,YALI0_B05852g,YALI0B05852p,similar to uniprot|Q03327 Saccharomyces cerevisiae YDR470c,782916,784301,17583,False,False,True
L2,contig_13,NC_006068.1,ChrB,764286,765333,"FAA1,FAT1,URA3",single_flank_fallback,low,1048,YALI0_B05478g,YALI0B05478p,some similarities with uniprot|Q05937 Saccharomyces cerevisiae YLR375w STP3 involved in pre-tRNA splicing and in uptake of branched-chain amino acids,745387,746442,17844,False,False,False
L2,contig_13,NC_006068.1,ChrB,764286,765333,"FAA1,FAT1,URA3",single_flank_fallback,low,1048,YALI0_B05874g,YALI0B05874p,some similarities with uniprot|P25386 Saccharomyces cerevisiae YDL058w USO1 intracellular protein transport protein,784427,788420,19094,False,False,False
L3,contig_5,NC_006071.1,ChrE,3352038,3352050,"GFP,MhFAR",paired_flanks,high,13,YALI0_E28336g,YALI0E28336p,weakly similar to uniprot|Q08294 Saccharomyces cerevisiae YOL155c,3350786,3351745,293,False,False,False
L3,contig_5,NC_006071.1,ChrE,3352038,3352050,"GFP,MhFAR",paired_flanks,high,13,YALI0_E28358g,YALI0E28358p,similar to KLLA0C02277g Kluyveromyces lactis IPF 6652.1,3354406,3355785,2356,False,False,False
L3,contig_5,NC_006071.1,ChrE,3352038,3352050,"GFP,MhFAR",paired_flanks,high,13,YALI0_E28314g,YALI0E28314p,no similarity,3347966,3349402,2636,False,False,True
L3,contig_5,NC_006071.1,ChrE,3352038,3352050,"GFP,MhFAR",paired_flanks,high,13,YALI0_E28371g,YALI0E28371p,similar to uniprot|P46675 Saccharomyces cerevisiae YLR045c STU2 suppressor of a cs tubulin mutation,3356069,3358721,4019,False,False,True
L3,contig_5,NC_006071.1,ChrE,3352038,3352050,"GFP,MhFAR",paired_flanks,high,13,YALI0_E28292g,YALI0E28292p,similar to uniprot|Q10138 Schizosaccharomyces pombe Hypothetical protein C3H8.02 in chromosome I,3344531,3345901,6137,False,False,False
L3,contig_5,NC_006071.1,ChrE,3352038,3352050,"GFP,MhFAR",paired_flanks,high,13,YALI0_E28402g,YALI0E28402p,weakly similar to DEHA0G02266g Debaryomyces hansenii IPF 912.1,3359921,3362083,7871,False,False,True
L3,contig_5,NC_006071.1,ChrE,3352038,3352050,"GFP,MhFAR",paired_flanks,high,13,YALI0_E28270g,YALI0E28270p,similar to uniprot|P32331 Saccharomyces cerevisiae YPR058w YMC1 mitochondrial carrier protein (MCF),3342178,3343050,8988,False,False,False
L3,contig_5,NC_006071.1,ChrE,3352038,3352050,"GFP,MhFAR",paired_flanks,high,13,YALI0_E28424g,YALI0E28424p,similar to uniprot|Q02854 Neurospora crassa NADH-ubiquinone oxidoreductase 21 kDa subunit (Complex I),3362402,3363329,10352,False,False,False
L3,contig_5,NC_006071.1,ChrE,3352038,3352050,"GFP,MhFAR",paired_flanks,high,13,YALI0_E28446g,YALI0E28446p,some similarities with uniprot|Q04119 Saccharomyces cerevisiae YDR452w PHM5 similarity to human sphingomyelin phosphodiesterase,3363902,3365803,11852,False,False,False
L3,contig_5,NC_006071.1,ChrE,3352038,3352050,"GFP,MhFAR",paired_flanks,high,13,YALI0_E28259g,YALI0E28259p,some similarities with uniprot|Q6C7W6 Yarrowia lipolytica YALI0D24816g,3339212,3339472,12566,False,False,False
L3,contig_5,NC_006071.1,ChrE,3352038,3352050,"GFP,MhFAR",paired_flanks,high,13,YALI0_E28468g,YALI0E28468p,similar to uniprot|P46655 Saccharomyces cerevisiae YGL245w Glutamyl-tRNA synthetase cytoplasmic,3367060,3369162,15010,False,False,True
L3,contig_5,NC_006071.1,ChrE,3352038,3352050,"GFP,MhFAR",paired_flanks,high,13,YALI0_E28248g,YALI0E28248p,similar to uniprot|P20133 Saccharomyces cerevisiae YPR176c BET2 geranylgeranyltransferase type II beta subunit,3336046,3336879,15159,False,False,True
L3,contig_5,NC_006071.1,ChrE,3352038,3352050,"GFP,MhFAR",paired_flanks,high,13,YALI0_E28237g,YALI0E28237p,similar to uniprot|Q05567 Saccharomyces cerevisiae YDR294C,3334354,3335700,16338,False,False,False
L3,contig_5,NC_006071.1,ChrE,3352038,3352050,"GFP,MhFAR",paired_flanks,high,13,YALI0_E28490g,YALI0E28490p,similar to DEHA0F11572g Debaryomyces hansenii IPF 8214.1,3370075,3371124,18025,False,False,True
L3,contig_5,NC_006071.1,ChrE,3352038,3352050,"GFP,MhFAR",paired_flanks,high,13,YALI0_E28512g,YALI0E28512p,some similarities with DEHA0F18689g Debaryomyces hansenii IPF 7594.1 hypothical start,3371312,3373339,19262,False,False,False
L3,contig_5,NC_006071.1,ChrE,3352038,3352050,"GFP,MhFAR",paired_flanks,high,13,YALI0_E28226g,YALI0E28226p,similar to uniprot|P20053 Saccharomyces cerevisiae YPR178w PRP4 U4/U6 snRNP 52 KD protein,3331261,3332619,19419,False,False,True
L4,contig_8,NC_006071.1,ChrE,1902657,1904821,FAT1,paired_flanks_broad_interval,moderate,2165,YALI0_E16016g,YALI0E16016p,similar to uniprot|P38225 Saccharomyces cerevisiae YBR041w FAT1 very long-chain fatty acyl-CoA synthetase singleton,1902673,1904811,0,False,True,False
L4,contig_8,NC_006071.1,ChrE,1902657,1904821,FAT1,paired_flanks_broad_interval,moderate,2165,YALI0_E15994g,YALI0E15994p,weakly similar to uniprot|P40509 Saccharomyces cerevisiae YIL076w SEC28 epsilon-COP coatomer subunitt,1900823,1901350,1307,False,False,False
L4,contig_8,NC_006071.1,ChrE,1902657,1904821,FAT1,paired_flanks_broad_interval,moderate,2165,YALI0_E16038g,YALI0E16038p,similar to uniprot|Q00684 Saccharomyces cerevisiae YFR028c CDC14 dual specificity phosphatase,1907722,1909416,2901,False,False,False
L4,contig_8,NC_006071.1,ChrE,1902657,1904821,FAT1,paired_flanks_broad_interval,moderate,2165,YALI0_E15928g,YALI0E15928p,weakly similar to uniprot|P54791 Saccharomyces cerevisiae YPR162c ORC4 origin recognition complex 56 KD subunit,1898122,1899657,3000,False,False,True
