contig,assigned_reference,kmer_jaccard,contig_length
contig_1,NC_002659.1,0.00032769134324955835,23331
contig_30,NC_002659.1,0.0030052910052910053,47895
contig_3,NC_006067.1,0.0031572274026532058,4145790
contig_6,NC_006067.1,0.004957471299528742,3640073
contig_8,NC_006067.1,0.877969675265064,2262344
contig_9,NC_006068.1,0.9419554265790133,3043562
contig_22,NC_006069.1,0.0005222247584360163,1960
contig_7,NC_006069.1,0.949926979822836,3296585
contig_5,NC_006072.1,0.9701311387838136,4040804
