Name,Description,chr,start,stop,strand,length,Gen0_ORFhits,Gen0_MinORFPosition(%),Gen0_MaxORFPosition(%),Gen0_ORFdensity (HPKM),Gen0_1kbUpStreamhits,Gen0_NearestUpStreamhit,Gen0_1kbDownStreamhits,Gen0_NearestDownStreamhit,Gen0_Flankdensity (HPKM),Gen0_ORFHitsLast10%,Gen0_IntronHits,Gen0_Pval,Gen0_ExpORFhits,Gen0_CorrectionRatio(R),Gen80_GLU_Pval,Gen80_GLY_Pval,Gen0Class,Gen80Classification,Gen80GLU Z score,Gen20GLU Z score,Gen0,Gen20GLY Z score,Gen80GLY Z score,YALI1_norm,YALI0 locus ID,YALI1 Locus ID,Gene Type,Chromosome,Start Base,End Base,Strand,Annotation,YALI0_norm
YALI1_A00309g,"similar to Saccharomyces cerevisiae ILS1 (YBL076C)%3B ancestral locus Anc_7.398,  similar to uniprot|P09436 Saccharomyces cerevisiae YBL076c ILS1 isoleucyl-tRNA synthetase",Yali1A,27706,30948,-,3243,0,na,na,0.0,47,-84,21,3,63.6,0,0,0.0,18.9257815348,0.604492690371,0.0,7e-06,Essential,Essential,na,na,na,na,na,YALI1_A00309g,YALI0A00264g,YALI1_A00309g,mRNA,YALI1A,27706.0,30948.0,-,"similar to Saccharomyces cerevisiae ILS1 (YBL076C)%3B ancestral locus Anc_7.398,  similar to uniprot|P09436 Saccharomyces cerevisiae YBL076c ILS1 isoleucyl-tRNA synthetase",YALI0_A00264g
YALI1_A00746g,"  similar to uniprot|P32527 Saccharomyces cerevisiae YGR285c ZUO1 zuotin a putative Z-DNA binding protein,similar to Saccharomyces cerevisiae ZUO1 (YGR285C)%3B ancestral locus Anc_5.4",Yali1A,73384,74673,-,1290,2,98.29325,98.83631,2.94,22,-134,10,12,29.93,2,0,0.111217,4.52026515092,0.363129251727,0.054503,0.101071,Essential,Essential,na,na,-0.0521,na,na,YALI1_A00746g,YALI0A00594g,YALI1_A00746g,mRNA,YALI1A,73384.0,74673.0,-,"  similar to uniprot|P32527 Saccharomyces cerevisiae YGR285c ZUO1 zuotin a putative Z-DNA binding protein,similar to Saccharomyces cerevisiae ZUO1 (YGR285C)%3B ancestral locus Anc_5.4",YALI0_A00594g
YALI1_A00789g,"  similar to uniprot|P47037 Saccharomyces cerevisiae YJL074c SMC3 required for structural maintenance of chromosomes,similar to Saccharomyces cerevisiae SMC3 (YJL074C)%3B ancestral locus Anc_1.295",Yali1A,75387,79215,-,3829,2,3.10867,93.46917,0.5,56,-6,21,59,72.02,1,1,0.0,24.7180728202,0.668640871433,2e-06,1e-06,Essential,Essential,na,na,na,na,na,YALI1_A00789g,YALI0A00616g,YALI1_A00789g,mRNA,YALI1A,75387.0,78941.0,-,"  similar to uniprot|P47037 Saccharomyces cerevisiae YJL074c SMC3 required for structural maintenance of chromosomes,similar to Saccharomyces cerevisiae SMC3 (YJL074C)%3B ancestral locus Anc_1.295",YALI0_A00616g
YALI1_A01061g,"  similar to uniprot|P39730 Saccharomyces cerevisiae YAL035w FUN12 general translation factor eIF2 homolog,similar to Saccharomyces cerevisiae FUN12 (YAL035W)%3B ancestral locus Anc_7.50",Yali1A,103012,106152,-,3141,0,na,na,0.0,45,-39,9,160,50.51,0,0,0.0,14.6850344007,0.484278916104,1e-06,0.00151,Essential,Essential,na,na,na,na,na,YALI1_A01061g,YALI0A00803g,YALI1_A01061g,mRNA,YALI1A,103012.0,106152.0,-,"  similar to uniprot|P39730 Saccharomyces cerevisiae YAL035w FUN12 general translation factor eIF2 homolog,similar to Saccharomyces cerevisiae FUN12 (YAL035W)%3B ancestral locus Anc_7.50",YALI0_A00803g
YALI1_A01628g,  weakly similar to uniprot|Q89ET9 Bradyrhizobium japonicum Blr6983 protein,Yali1A,162845,164071,+,1227,9,1.87602,95.51387,4.64,23,-6,41,107,59.86,6,0,0.012329,9.29130281277,0.784759145784,0.017859,0.062448,Essential,Essential,0.548933333333,0.0399,0.9802,-0.61955,0.0442,YALI1_A01628g,YALI0A01155g,YALI1_A01628g,mRNA,YALI1A,162845.0,164071.0,+,  weakly similar to uniprot|Q89ET9 Bradyrhizobium japonicum Blr6983 protein,YALI0_A01155g
YALI1_A01717g,  similar to uniprot|P39984 Saccharomyces cerevisiae YEL056w HAT2,Yali1A,170585,171778,-,1194,2,96.06035,96.64711,3.18,34,-47,33,38,62.66,2,0,0.006939,8.57517972646,0.744308586356,0.00758,0.006759,Essential,Essential,-0.0524,0.6443,-0.2335,-0.6913,na,YALI1_A01717g,YALI0A01331g,YALI1_A01717g,mRNA,YALI1A,170585.0,171778.0,-,  similar to uniprot|P39984 Saccharomyces cerevisiae YEL056w HAT2,YALI0_A01331g
YALI1_A01766g,"  similar to uniprot|P29496 Saccharomyces cerevisiae YLR274w CDC46 cell division control protein,similar to Saccharomyces cerevisiae CDC46 (YLR274W)%3B ancestral locus Anc_6.71",Yali1A,174384,176618,-,2235,0,na,na,0.0,45,-22,11,17,52.38,0,0,8e-06,11.7573986414,0.544977178663,4.4e-05,0.000381,Essential,Essential,na,na,na,na,na,YALI1_A01766g,YALI0A01353g,YALI1_A01766g,mRNA,YALI1A,174384.0,176618.0,-,"  similar to uniprot|P29496 Saccharomyces cerevisiae YLR274w CDC46 cell division control protein,similar to Saccharomyces cerevisiae CDC46 (YLR274W)%3B ancestral locus Anc_6.71",YALI0_A01353g
YALI1_A01777g,"similar to Saccharomyces cerevisiae ASF1 (YJL115W)%3B ancestral locus Anc_1.242,  similar to uniprot|P32447 Saccharomyces cerevisiae YJL115w ASF1 anti-silencing protein",Yali1A,177105,178281,-,1177,2,26.87075,77.97619,1.61,69,-27,44,73,105.69,0,1,0.000133,11.3568288305,1.2427150782,0.000617,0.009693,Essential,Essential,0.4245,-0.2754,-1.2965,na,1.1897,YALI1_A01777g,YALI0A01375g,YALI1_A01777g,mRNA,YALI1A,177105.0,178281.0,-,"similar to Saccharomyces cerevisiae ASF1 (YJL115W)%3B ancestral locus Anc_1.242,  similar to uniprot|P32447 Saccharomyces cerevisiae YJL115w ASF1 anti-silencing protein",YALI0_A01375g
YALI1_A01794g,  weakly similar to uniprot|Q9V3C5 Drosophila melanogaster BCDNA:GH03694 protein,Yali1A,179495,182445,+,2951,2,92.94915,99.22034,1.29,73,-18,4,24,72.02,2,0,0.0,20.5213796211,0.720335436154,2e-06,1.6e-05,Essential,Essential,0.1013,-0.2754,-1.2965,na,na,YALI1_A01794g,YALI0A01397g,YALI1_A01794g,mRNA,YALI1A,179495.0,182445.0,+,  weakly similar to uniprot|Q9V3C5 Drosophila melanogaster BCDNA:GH03694 protein,YALI0_A01397g
YALI1_A02083g,"similar to Saccharomyces cerevisiae GIM3 (YNL153C)%3B ancestral locus Anc_2.101,  similar to uniprot|P53900 Saccharomyces cerevisiae YNL153c GIM3 Gim complex",Yali1A,207949,208922,-,974,1,31.75745,31.75745,0.0,18,-19,12,34,28.06,0,1,0.040121,3.21586056588,0.342243029465,0.0932,0.27534,Essential,Essential,na,na,na,na,na,YALI1_A02083g,YALI0A01738g,YALI1_A02083g,mRNA,YALI1A,207949.0,208335.0,-,"similar to Saccharomyces cerevisiae GIM3 (YNL153C)%3B ancestral locus Anc_2.101,  similar to uniprot|P53900 Saccharomyces cerevisiae YNL153c GIM3 Gim complex",YALI0_A01738g
