contig,contig_length,contig_start,contig_stop,ref_chr,ref_length,ref_start,ref_stop,strand,matches,aln_block_len,percent_identity,mapq,chr_label
contig_10,2262666,2454,2254851,NC_006067.1,2303261,163,2302411,-,2112853,2340410,90.27704547493815,60,ChrA
contig_13,3071680,17260,3064299,NC_006068.1,3066374,101,3066344,-,2958106,3076478,96.1523534379248,60,ChrB
contig_13,3071680,2935198,2994701,NC_006068.1,3066374,71071,130611,+,55029,59731,92.12804071587618,0,ChrB
contig_14,47891,356,41014,NC_002659.1,47916,15,40682,-,40081,40674,98.54206618478635,60,mtDNA
contig_14,47891,41041,47890,NC_002659.1,47916,41044,47904,-,6623,6861,96.53111791284068,60,mtDNA
contig_3,3343443,20156,3320899,NC_006069.1,3272609,52,3272545,-,3182895,3320839,95.8461099740156,60,ChrC
contig_5,1316987,13,1316570,NC_006071.1,4224103,2873922,4213648,+,1304655,1345447,96.96814515919245,60,ChrE
contig_6,4033771,13408,4014331,NC_006072.1,4003362,5,4003128,+,3948206,4010729,98.4411063425128,60,ChrF
contig_8,2887287,45544,2887262,NC_006071.1,4224103,18,2873886,+,2758111,2888986,95.46986382073156,60,ChrE
contig_9,3658090,49276,3656851,NC_006070.1,3633272,258,3633152,-,3512451,3660340,95.95969226902419,60,ChrD
