locus_id,contig,ref_chr,chr_label,locus_start,locus_stop,motifs_present,projection_status,projection_confidence,projection_interval_width_bp,locus_tag,product,note,cds_start,cds_stop,distance_bp,overlaps_locus,within_projected_interval,is_essential
L1,contig_11,NC_006071.1,ChrE,3352038,3352050,"GFP,MhFAR,URA3",paired_flanks,high,13,YALI0_E28336g,YALI0E28336p,weakly similar to uniprot|Q08294 Saccharomyces cerevisiae YOL155c,3350786,3351745,293,False,False,False
L1,contig_11,NC_006071.1,ChrE,3352038,3352050,"GFP,MhFAR,URA3",paired_flanks,high,13,YALI0_E28358g,YALI0E28358p,similar to KLLA0C02277g Kluyveromyces lactis IPF 6652.1,3354406,3355785,2356,False,False,False
L1,contig_11,NC_006071.1,ChrE,3352038,3352050,"GFP,MhFAR,URA3",paired_flanks,high,13,YALI0_E28314g,YALI0E28314p,no similarity,3347966,3349402,2636,False,False,True
L1,contig_11,NC_006071.1,ChrE,3352038,3352050,"GFP,MhFAR,URA3",paired_flanks,high,13,YALI0_E28371g,YALI0E28371p,similar to uniprot|P46675 Saccharomyces cerevisiae YLR045c STU2 suppressor of a cs tubulin mutation,3356069,3358721,4019,False,False,True
L1,contig_11,NC_006071.1,ChrE,3352038,3352050,"GFP,MhFAR,URA3",paired_flanks,high,13,YALI0_E28292g,YALI0E28292p,similar to uniprot|Q10138 Schizosaccharomyces pombe Hypothetical protein C3H8.02 in chromosome I,3344531,3345901,6137,False,False,False
L1,contig_11,NC_006071.1,ChrE,3352038,3352050,"GFP,MhFAR,URA3",paired_flanks,high,13,YALI0_E28402g,YALI0E28402p,weakly similar to DEHA0G02266g Debaryomyces hansenii IPF 912.1,3359921,3362083,7871,False,False,True
L1,contig_11,NC_006071.1,ChrE,3352038,3352050,"GFP,MhFAR,URA3",paired_flanks,high,13,YALI0_E28270g,YALI0E28270p,similar to uniprot|P32331 Saccharomyces cerevisiae YPR058w YMC1 mitochondrial carrier protein (MCF),3342178,3343050,8988,False,False,False
L1,contig_11,NC_006071.1,ChrE,3352038,3352050,"GFP,MhFAR,URA3",paired_flanks,high,13,YALI0_E28424g,YALI0E28424p,similar to uniprot|Q02854 Neurospora crassa NADH-ubiquinone oxidoreductase 21 kDa subunit (Complex I),3362402,3363329,10352,False,False,False
L1,contig_11,NC_006071.1,ChrE,3352038,3352050,"GFP,MhFAR,URA3",paired_flanks,high,13,YALI0_E28446g,YALI0E28446p,some similarities with uniprot|Q04119 Saccharomyces cerevisiae YDR452w PHM5 similarity to human sphingomyelin phosphodiesterase,3363902,3365803,11852,False,False,False
L1,contig_11,NC_006071.1,ChrE,3352038,3352050,"GFP,MhFAR,URA3",paired_flanks,high,13,YALI0_E28259g,YALI0E28259p,some similarities with uniprot|Q6C7W6 Yarrowia lipolytica YALI0D24816g,3339212,3339472,12566,False,False,False
L1,contig_11,NC_006071.1,ChrE,3352038,3352050,"GFP,MhFAR,URA3",paired_flanks,high,13,YALI0_E28468g,YALI0E28468p,similar to uniprot|P46655 Saccharomyces cerevisiae YGL245w Glutamyl-tRNA synthetase cytoplasmic,3367060,3369162,15010,False,False,True
L1,contig_11,NC_006071.1,ChrE,3352038,3352050,"GFP,MhFAR,URA3",paired_flanks,high,13,YALI0_E28248g,YALI0E28248p,similar to uniprot|P20133 Saccharomyces cerevisiae YPR176c BET2 geranylgeranyltransferase type II beta subunit,3336046,3336879,15159,False,False,True
L1,contig_11,NC_006071.1,ChrE,3352038,3352050,"GFP,MhFAR,URA3",paired_flanks,high,13,YALI0_E28237g,YALI0E28237p,similar to uniprot|Q05567 Saccharomyces cerevisiae YDR294C,3334354,3335700,16338,False,False,False
L1,contig_11,NC_006071.1,ChrE,3352038,3352050,"GFP,MhFAR,URA3",paired_flanks,high,13,YALI0_E28490g,YALI0E28490p,similar to DEHA0F11572g Debaryomyces hansenii IPF 8214.1,3370075,3371124,18025,False,False,True
L1,contig_11,NC_006071.1,ChrE,3352038,3352050,"GFP,MhFAR,URA3",paired_flanks,high,13,YALI0_E28512g,YALI0E28512p,some similarities with DEHA0F18689g Debaryomyces hansenii IPF 7594.1 hypothical start,3371312,3373339,19262,False,False,False
L1,contig_11,NC_006071.1,ChrE,3352038,3352050,"GFP,MhFAR,URA3",paired_flanks,high,13,YALI0_E28226g,YALI0E28226p,similar to uniprot|P20053 Saccharomyces cerevisiae YPR178w PRP4 U4/U6 snRNP 52 KD protein,3331261,3332619,19419,False,False,True
L2,contig_22,NC_006067.1,ChrA,114568,114604,"Hyg,MhFAR",paired_flanks,high,37,YALI0_A00891g,YALI0A00891p,uniprot|Q96X25 Yarrowia lipolytica Serine/threonine phosphatase Pph21p (EC 3.1.3.16) (Serine/threonine protein phosphatase),112988,114379,189,False,False,False
L2,contig_22,NC_006067.1,ChrA,114568,114604,"Hyg,MhFAR",paired_flanks,high,37,YALI0_A00913g,YALI0A00913p,weakly similar to uniprot|P40009 Saccharomyces cerevisiae YER005w YND1 Yeast Nucleoside Diphosphatase,116949,119207,2345,False,False,False
L2,contig_22,NC_006067.1,ChrA,114568,114604,"Hyg,MhFAR",paired_flanks,high,37,YALI0_A00869g,YALI0A00869p,some similarities with uniprot|P53322 Saccharomyces cerevisiae YGR260w TNA1 similarity to allantoate transport protein,109884,111338,3230,False,False,False
L2,contig_22,NC_006067.1,ChrA,114568,114604,"Hyg,MhFAR",paired_flanks,high,37,YALI0_A00847g,YALI0A00847p,similar to uniprot|O59826 Schizosaccharomyces pombe Putative potassium channel subunit,108301,109344,5224,False,False,False
L2,contig_22,NC_006067.1,ChrA,114568,114604,"Hyg,MhFAR",paired_flanks,high,37,YALI0_A00935g,YALI0A00935p,no similarity,121112,121432,6508,False,False,False
L2,contig_22,NC_006067.1,ChrA,114568,114604,"Hyg,MhFAR",paired_flanks,high,37,YALI0_A00825g,YALI0A00825p,weakly similar to DEHA0E12342g Debaryomyces hansenii IPF 11939.1,106356,107765,6803,False,False,False
L2,contig_22,NC_006067.1,ChrA,114568,114604,"Hyg,MhFAR",paired_flanks,high,37,YALI0_A00957g,YALI0A00957p,similar to Q8U8U2 Agrobacterium tumefaciens putative acetyl transferase,121983,122435,7379,False,False,False
L2,contig_22,NC_006067.1,ChrA,114568,114604,"Hyg,MhFAR",paired_flanks,high,37,YALI0_A00979g,YALI0A00979p,similar to uniprot|P34240 Saccharomyces cerevisiae YKL175w ZRT3 vacuolar membrane protein involved in the regulation of zinc storage,124225,125673,9621,False,False,False
L2,contig_22,NC_006067.1,ChrA,114568,114604,"Hyg,MhFAR",paired_flanks,high,37,YALI0_A00803g,YALI0A00803p,similar to uniprot|P39730 Saccharomyces cerevisiae YAL035w FUN12 general translation factor eIF2 homolog,100124,103264,11304,False,False,True
L2,contig_22,NC_006067.1,ChrA,114568,114604,"Hyg,MhFAR",paired_flanks,high,37,YALI0_A01001g,YALI0A01001p,weakly similar to uniprot|P32341 Saccharomyces cerevisiae YKL119c VPH2 H+-ATPase assembly protein,127330,128412,12726,False,False,False
L2,contig_22,NC_006067.1,ChrA,114568,114604,"Hyg,MhFAR",paired_flanks,high,37,YALI0_A00781g,YALI0A00781p,similar to uniprot|Q04004 Saccharomyces cerevisiae YDR183w PLP1 Phosducin homologue likely to be involved in regulation of pheromone response,94859,95452,19116,False,False,False
L3,contig_26,NC_006070.1,ChrD,1675540,1683163,"GFP,MhFAR",paired_flanks_broad_interval,moderate,7624,YALI0_D13552g,YALI0D13552p,weakly similar to uniprot|Q12361 Saccharomyces cerevisiae YDL035c GPR1 G-protein coupled receptor,1675257,1676798,0,False,True,False
L3,contig_26,NC_006070.1,ChrD,1675540,1683163,"GFP,MhFAR",paired_flanks_broad_interval,moderate,7624,YALI0_D13574g,YALI0D13574p,similar to uniprot|Q12367 Saccharomyces cerevisiae YLR137w,1676952,1677872,0,False,True,False
L3,contig_26,NC_006070.1,ChrD,1675540,1683163,"GFP,MhFAR",paired_flanks_broad_interval,moderate,7624,YALI0_D13596g,YALI0D13596p,highly similar to uniprot|P13663 Saccharomyces cerevisiae YDR158w HOM2 aspartate-semialdehyde dehydrogenase,1679447,1680541,0,False,True,True
L3,contig_26,NC_006070.1,ChrD,1675540,1683163,"GFP,MhFAR",paired_flanks_broad_interval,moderate,7624,YALI0_D13618g,YALI0D13618p,no similarity,1681130,1683919,0,False,True,False
L3,contig_26,NC_006070.1,ChrD,1675540,1683163,"GFP,MhFAR",paired_flanks_broad_interval,moderate,7624,YALI0_D13640g,YALI0D13640p,similar to uniprot|P38887 Saccharomyces cerevisiae YHR202w,1684342,1686063,1179,False,False,False
L3,contig_26,NC_006070.1,ChrD,1675540,1683163,"GFP,MhFAR",paired_flanks_broad_interval,moderate,7624,YALI0_D13530g,YALI0D13530p,no similarity,1670543,1671691,3849,False,False,False
L3,contig_26,NC_006070.1,ChrD,1675540,1683163,"GFP,MhFAR",paired_flanks_broad_interval,moderate,7624,YALI0_D13662g,YALI0D13662p,no similarity,1688736,1689131,5573,False,False,False
L3,contig_26,NC_006070.1,ChrD,1675540,1683163,"GFP,MhFAR",paired_flanks_broad_interval,moderate,7624,YALI0_D13684g,YALI0D13684p,some similarities with uniprot|P17121 Saccharomyces cerevisiae YDR389W GTPase activating protein SAC7,1689863,1693037,6700,False,False,False
L3,contig_26,NC_006070.1,ChrD,1675540,1683163,"GFP,MhFAR",paired_flanks_broad_interval,moderate,7624,YALI0_D13508g,YALI0D13508p,similar to uniprot|Q03768 Saccharomyces cerevisiae YDR152w,1667538,1668209,7331,False,False,False
L3,contig_26,NC_006070.1,ChrD,1675540,1683163,"GFP,MhFAR",paired_flanks_broad_interval,moderate,7624,YALI0_D13486g,YALI0D13486p,similar to DEHA0E17215g Debaryomyces hansenii,1665804,1666835,8705,False,False,True
L3,contig_26,NC_006070.1,ChrD,1675540,1683163,"GFP,MhFAR",paired_flanks_broad_interval,moderate,7624,YALI0_D13464g,YALI0D13464p,similar to uniprot|Q04500 Saccharomyces cerevisiae YML093w,1662360,1665272,10268,False,False,True
L3,contig_26,NC_006070.1,ChrD,1675540,1683163,"GFP,MhFAR",paired_flanks_broad_interval,moderate,7624,YALI0_D13706g,YALI0D13706p,similar to uniprot|P39743 Saccharomyces cerevisiae YDR388w RVS167 Reduced viability upon starvation,1696507,1697760,13344,False,False,False
L3,contig_26,NC_006070.1,ChrD,1675540,1683163,"GFP,MhFAR",paired_flanks_broad_interval,moderate,7624,YALI0_D13442g,YALI0D13442p,similar to |P47160 uniprot|P47160 Saccharomyces cerevisiae YJR125c ENT3 cytoskeletal adaptor P3.83.f3.1 and Schizosaccharomyces pombe Hypothetical 51.8 kDa protein,1660515,1662014,13526,False,False,False
L3,contig_26,NC_006070.1,ChrD,1675540,1683163,"GFP,MhFAR",paired_flanks_broad_interval,moderate,7624,YALI0_D13288g,YALI0D13288p,no similarity possibly noncoding,1655726,1656340,19200,False,False,False
L3,contig_26,NC_006070.1,ChrD,1675540,1683163,"GFP,MhFAR",paired_flanks_broad_interval,moderate,7624,YALI0_D13728g,40S ribosomal protein S24,similar to uniprot|P26782 Saccharomyces cerevisiae YIL069c RP50B 40S small subunit ribosomal protein S24.e,1702673,1703385,19510,False,False,False
L3,contig_26,NC_006070.1,ChrD,1675540,1683163,"GFP,MhFAR",paired_flanks_broad_interval,moderate,7624,YALI0_D13266g,YALI0D13266p,no similarity,1654046,1655542,19998,False,False,False
L4,contig_26,NC_006070.1,ChrD,1632503,1640142,"GFP,MhFAR",paired_flanks_broad_interval,moderate,7640,YALI0_D13156g,YALI0D13156p,weakly similar to uniprot|P38966 Saccharomyces cerevisiae YDR089w,1636710,1639313,0,False,True,False
